ID,FName,LName,Username,Password,Email,Phone
1,Hugo,Lorenzt,hloren,password4,hloren@gmail.com,4444444453
2,Javeline,Javani,jjavani,password5,jjavani@gmail.com,4444444425
3,Ikra,Ahmed,iahmed,password6,iahmed@gmail.com,4444442441
4,Jugo,Lorenzt,juloren,password4,juloren@gmail.com,4444444453
5,Maveline,Javani,mjavani,password5,mjavani@gmail.com,4444444425
6,Okra,Ahmed,oahmed,password6,oahmed@gmail.com,4444442441
7,Vugo,Lorenzt,vuloren,password4,vuloren@gmail.com,4444444453
8,Paveline,Javani,pjavani,password5,pjavani@gmail.com,4444444425
9,Ekra,Ahmed,eahmed,password6,eahmed@gmail.com,4444442441
10,Rugo,Lorenzt,ruloren,password5,ruloren@gmail.com,4444444453
